COD,DISCIPLINA,DEPARTAMENTO,CRD,T,CAP,HORÁRIO,LOCAL,
ICE1044,"ECOLOGIA, EVOLUÇÃO E DESENVOLVIMENTO",OUTROS DEPARTAMENTOS,4,1,40,35N12,3N Anf. dos Anfíbios e 5N - sala Aroeira,saiu DNA - DBG
MCL0026,INTRODUÇÃO A MEDICINA E BIOÉTICA,OUTROS DEPARTAMENTOS,4,,54,24T12,ANFITEATRO DOS ANFÍBIOS,
MCL0026,INTRODUÇÃO A MEDICINA E BIOÉTICA,OUTROS DEPARTAMENTOS,4,,54,24T12,FAVELEIRA,
FAR0102,MÓDULO INTEGRADOR I,OUTROS DEPARTAMENTOS,,,50,3M1 e 6N1,SALA AROEIRA,
DSC0139,EPIDEMIOLOGIA (BIOMED.),OUTROS DEPARTAMENTOS,4,1,30,4N1234,SALA 1 - DSC/DNUT,
DSC0202,TÓPICOS ESPECIAIS EM SAÚDE COLETIVA II (CB,OUTROS DEPARTAMENTOS,2,1,40,4T56,SALA 02 DO NESC,
DSC0203,TÓPICOS ESPECIAIS EM SAÚDE COLETIVA III (CB,OUTROS DEPARTAMENTOS,2,1,30,3T56,SALA 02 DO NESC,
DSC0204,TÓPICOS ESPECIAIS EM SAÚDE COLETIVA IV (CB,OUTROS DEPARTAMENTOS,2,1,40,2T56,SALA 01 DO NESC,
CIV0027,SANEAMENTO AMBIENTAL (ECOL.),OUTROS DEPARTAMENTOS,3,2,40,2T123,SETOR IV,
CIV0027,SANEAMENTO AMBIENTAL (ECOL.),OUTROS DEPARTAMENTOS,3,1,40,3N123,SETOR IV,
MAT0220,CÁLCULO DIFERENCIAL E INTEGRAL (EA),OUTROS DEPARTAMENTOS,4,1,60,35T12,2,
ADM0561,COMERCIALIZAÇÃO E MARKETING (EA),OUTROS DEPARTAMENTOS,4,1,50,46T34,10,
ARQ0002,DESENHO TÉCNICO (EA),OUTROS DEPARTAMENTOS,4,3,50,35T34,LAB. INFO 03,
ECO0419,ECONOMIA P/ PROJ. AQUÍCOLAS (EA),OUTROS DEPARTAMENTOS,4,1,50,35T56,12,
FIS0801,FÍSICA GERAL I (EA),OUTROS DEPARTAMENTOS,4,7,50,35T56,3H6,
MAT0221,GEOMETRIA ANALÍTICA E ALGEBRA LINEAR (EA),OUTROS DEPARTAMENTOS,6,1,20,246T56,3,
DGE0315,GEOPROCESSAMENTO (EA),OUTROS DEPARTAMENTOS,4,1,50,5T2345,SETOR II,
CIV0051,HIDRÁULICA AOLICADA A AQUICULTURA,OUTROS DEPARTAMENTOS,4,1,50,35T34,SETOR IV,
FIS0031,INTRODUÇÃO À FÍSICA (EA),OUTROS DEPARTAMENTOS,4,1,50,24T56,PROIN - PRÉDIO I - DEPTO. DE FÍSICA,
CIV0106,TOPOGRAFIA  (EA),OUTROS DEPARTAMENTOS,4,1,40,6T2345,SETOR IV,
